name,description,categoryId,categoryName,status,slug,weightValue,weightUnit,sku,price,quantity,thumbnailUrl,imageUrls
Xoài sấy 500g,Xoài sấy Thái Lan thơm ngọt,,Bánh,ACTIVE,,500,g,MANG-500,89,100,https://sieuthiluxy.vn/products/xoai-say-deo-vi-ngon-ngot-ngao-dinh-duong-doi-dao?srsltid=AfmBOorqAiPKKtXbpea1pTHY_eDxCpvNSi0bMp6Hp1GXVZPI_JIZEF-2,"https://www.lottemart.vn/vi-wle/product/mut-xoai-say-deo-dai-thd-2210460000009-p2337?srsltid=AfmBOoqGx5d-zpdChEtlAi1Jbru0n1wVrDTPgMcCafc_5aSCfqZ3B8pZ,https://tmtdistribution.com/vn/xoai-say-deo-fnv-100g-/-tui.html"
Mực rim 1kg,Mực rim me đặc sản Phú Quốc,,Mực,ACTIVE,,1000,g,SQUID-1K,18,50,"https://dacsanbinhdinhquynhon.com/san-pham/muc-rim-toi-ot-binh-dinh-quy-nhon/?srsltid=AfmBOoqOVrrWv8xgGiWP-58nFpKfD4sY-YJc48nznjAVoaI9p25D085Q,","https://khomuc.com.vn/blogs/blog-am-thuc/bi-quyet-lam-muc-kho-rim-nuoc-mam-thom-ngon-dam-da?srsltid=AfmBOoq-1Tydbkx2bLYRZkSQ3LgvmI4I5Mk8bLgEFwD2QOXyxHVxze0-;https://tintuc.buudien.vn/chia-se-trai-nghiem/cach-lam-muc-rim-tuyet-ngon.html;https://sanphamdacsan.com/Ban-Muc-Rim-Me-Dac-San-Bien-Ngon-Kho-Cuong"
Khô bò 500g,Khô bò thơm ngon đậm đà truyền thống,,Khô,ACTIVE,,500,g,BEEF-500,129,80,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f;https://images.unsplash.com/photo-1544025162-d76694265947;https://images.unsplash.com/photo-1558030006-450675393462;https://images.unsplash.com/photo-1588168333986-5078d3ae3976;https://images.unsplash.com/photo-1607623814075-e51df1bdc82f
Khô gà lá chanh,Khô gà lá chanh đặc sản Bình Định thơm lừng,,Khô,ACTIVE,,300,g,CHICKEN-300,95,60,https://images.unsplash.com/photo-1598103442097-8b74394b95c6,https://images.unsplash.com/photo-1598103442097-8b74394b95c6;https://images.unsplash.com/photo-1604503468500-12d60ba758c5;https://images.unsplash.com/photo-1567620832903-0fc676de3066;https://images.unsplash.com/photo-1546069901-ba9599a7e63c;https://images.unsplash.com/photo-1562967914-608f82629710
Khô gà lá chanh,Khô gà lá chanh đặc sản Bình Định thơm lừng,,Khô,ACTIVE,,500,g,CHICKEN-500,159,45,https://images.unsplash.com/photo-1598103442097-8b74394b95c6,https://images.unsplash.com/photo-1598103442097-8b74394b95c6;https://images.unsplash.com/photo-1604503468500-12d60ba758c5;https://images.unsplash.com/photo-1567620832903-0fc676de3066;https://images.unsplash.com/photo-1546069901-ba9599a7e63c;https://images.unsplash.com/photo-1562967914-608f82629710
Chà bông heo 200g,Chà bông heo thơm ngon bổ dưỡng,,Khô,ACTIVE,,200,g,PORK-200,45,120,https://images.unsplash.com/photo-1546069901-ba9599a7e63c,https://images.unsplash.com/photo-1546069901-ba9599a7e63c;https://images.unsplash.com/photo-1567620832903-0fc676de3066;https://images.unsplash.com/photo-1604503468500-12d60ba758c5
Cá khô 300g,Cá khô một nắng Nha Trang,,Khô,ACTIVE,,300,g,FISH-300,65,90,https://images.unsplash.com/photo-1534604973900-c43ab4c2e0ab,https://images.unsplash.com/photo-1534604973900-c43ab4c2e0ab;https://images.unsplash.com/photo-1559847844-5315695dadae;https://images.unsplash.com/photo-1519708227418-8e0c7a2a2f9b
Mứt dừa 400g,Mứt dừa Bến Tre dẻo thơm,,Mứt,ACTIVE,,400,g,COCONUT-400,55,100,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f;https://images.unsplash.com/photo-1558030006-450675393462;https://images.unsplash.com/photo-1588168333986-5078d3ae3976
Hạt điều rang muối 250g,Hạt điều Bình Phước rang muối giòn béo,,Hạt,ACTIVE,,250,g,CASHEW-250,89,150,https://images.unsplash.com/photo-1599599810769-bcde5a160d32,https://images.unsplash.com/photo-1599599810769-bcde5a160d32;https://images.unsplash.com/photo-1608797178974-15b35e88695c;https://images.unsplash.com/photo-1599599810769-bcde5a160d32;https://images.unsplash.com/photo-1608797178974-15b35e88695c
Bánh tráng cuốn 500g,Bánh tráng cuốn tươi Bình Định,,Bánh,ACTIVE,,500,g,RICE-500,35,200,https://images.unsplash.com/photo-1562967914-608f82629710,https://images.unsplash.com/photo-1562967914-608f82629710;https://images.unsplash.com/photo-1544025162-d76694265947;https://images.unsplash.com/photo-1558030006-450675393462
